Query,Response
Wh4t sh0uld y0u do wh3n driving n3ar 4 b!us lan3?,Avoid driving in the bus lane and let buses have priority.
Why 4r3 continuity lin3s imp0rtant?,They warn drivers of upcoming lane merges or lane terminations.
Wh4t i5 the purp0se of a lo4ding 4nd unl04ding b4y l4ne?,It allows public utility vehicles to safely load and unload passengers.
How can pav3ment markings 1mpr0ve road safety?,"They provide clear guidance for lane use, turning, stopping, and overtaking."
Wh4t is a s!ngl3 br0k3n wh!te lin3 s!gn!fy?,It allows vehicles to change lanes or overtake when it is safe.
Wh4t d0es 4 s0l!d wh!t3 lin3 0n th3 r04d me4n?,It indicates that lane changing is discouraged or prohibited.
Why 4re p4v3ment m4rk!ngs rep4int3d?,To ensure they remain visible and continue to provide guidance for safe driving.
Wh4t is th3 d!ffer3nce b3tw33n 4 br0ken 4nd 4 sol!d l!ne?,"A broken line allows overtaking or lane changes, while a solid line restricts them."
Why 4re th3r3 d!ff3rent col0r5 for p4vement m4rkings?,"Different colors provide specific information; for example, yellow separates traffic directions, while white separates lanes."
Why d0 som3 r04ds h4v3 m4rk!ngs f0r sp33d l!m!ts?,These markings remind drivers of the speed they must not exceed for safety.
Wh4t 1s 4 rumb13 str!p's m41n purp05e?,To alert inattentive or drowsy drivers by creating vibrations.
H0w d0 p3d3str!an l4n3s and st0p l!n3s w0rk t0geth3r?,The stop line ensures vehicles stop at a safe distance from the pedestrian lane.
Why sh0uld dr!v3rs p4y 4tt3ntion to !sland m4rk!ngs?,They help prevent collisions with obstacles and guide safe lane changes.
Wh4t 4r3 th3 dang3rs 0f ign0ring r04d m4rkings?,Ignoring markings can lead to accidents and violations.
What are pavemant markings?,Pavement markings are the painted lines on the road that serve as guides for vehicles.
Why do pavment markings mater?,"They guide drivers on proper road position, ensuring safety and order on the road."
What is an egde line?,An edge line is a thick line at the edge of the road separating it from the sidewalk or shoulder.
Why is the sidwalk reserved for pedestirans?,Sidewalks are designated for pedestrians to ensure their safety from vehicles.
What is the purpse of a curb or shoulder?,Curbs or shoulders are for vehicles to stop in case of emergencies.
What is a cneter line?,The center line separates the direction of traffic and is usually continuous.
What happns if a vehcile crosses the center line?,Crossing the center line can result in a dangerous counter-flow situation.
What is a broken whiet line used for?,It separates lanes and indicates that vehicles can overtake when it’s safe.
What is a pedestian lane?,A pedestrian lane is where people are allowed to safely cross the road.
What is a stop lne?,"A stop line is a solid white line that requires vehicles to make a full stop, especially when pedestrians are crossing."
Why do som roads have yelow lines instead of white?,Yellow lines are often found on highways where pedestrians are rare.
What do doble solid yellow or white lines mean?,They mean overtaking and crossing are prohibited.
What does a combnation of broken and solid yellow lines mean?,Overtaking is allowed on the broken line side but prohibited on the solid line side.
What does a singl solid yellow or white line mean?,"Overtaking is prohibited, but crossing is allowed."
What are cotinuity lines?,Shorter lines that indicate that your lane is about to end or you're approaching an obstruction.
What does a continuty line on your right mean?,It means your lane will continue without changes.
What does a contunity line on your left mean?,It means you're approaching an obstruction or a different direction.
What sped should you mantain when entering an expressway?,Follow the speed of the vehicles already on the expressway to avoid accidents.
What are transtion lines?,Transition lines guide vehicles past obstructions like islands or bridge piers.
What are giveway lines?,"These are broken white lines across the road, indicating that drivers must give way to oncoming traffic."
Where are giveway lines typcally found?,"At intersections, side roads, or roundabouts."
Who has the rite of way at a roundabout?,Vehicles already in the roundabout have the right of way.
What are nonsignalized pedestran lanes?,Pedestrian lanes without traffic lights where drivers must stop for pedestrians.
What are signalzed pedestrian lanes?,Pedestrian lanes with traffic lights that indicate when pedestrians can cross.
What are trun lines?,Turn lines guide vehicles when making turns at intersections.
What are loding and unloading bay lines?,Continuous white lines that indicate where public utility vehicles can load and unload passengers.
What does a yelow line in parking areas signfiy?,"It shows where vehicles should park, especially avoiding spaces reserved for people with disabilities."
Can you park in a PWD parkng spot if it's the only spot avilable?,"No, you should find another space, as these are reserved for persons with disabilities."
What are PUV lanes?,Lanes specifically reserved for public utility vehicles like buses and jeeps.
Why are PUV lanes maked in a spcial way?,They are marked to clearly separate them from lanes for other vehicles.
What are aproach markings?,They indicate that you're approaching an obstruction like an island or median strip.
What are rublle strips?,"Rumble strips alert drivers who might be losing focus on long, straight roads."
What do chevrons on poles and trafic lights indcate?,They serve as warnings of obstructions ahead.
What does a yellow crub mean?,No parking is allowed on yellow-painted curbs.
What does a red crub mean?,No loading or unloading of passengers is allowed.
What are railrod crossing markings?,These are painted with ‘RR’ and a large X to warn drivers of approaching railroad tracks.
What should drvers do when aproaching railrod crossing markings?,Stop fully and be alert for any approaching trains.
What are fire lanes?,Fire lanes are reserved for fire engines and parking in these areas is prohibited.
Why are some pavemet objects made from dense plastic or cemnt?,These objects guide traffic temporarily and are used to manage vehicle movement.
What are motorcyle and bike lanes?,Dedicated lanes for motorcycles and bikes to avoid lane switching except when exiting.
What are pavemnt arrows?,White arrows on the road that guide drivers on the proper lane and direction.
What does a sppeed limit pavemnt marking indcate?,"The maximum speed allowed in the area, which must be strictly followed."
What is a cat's eye or rode stud?,A reflective device on the road that helps separate lanes and is visible at night.
Why are cats eyes efective during the nigt?,"They reflect light, making road markings more visible in the dark."
Can vehcles stop for long peroids on road shoulders?,"No, road shoulders are for emergency stops only."
What do transtion lines indcate?,They help guide vehicles safely around obstacles or lane changes.
Where do transition lines usully appear?,"At the edges of islands, bridge piers, and where road lanes widen or narrow."
What is a medain strip?,A divider in the middle of the road that separates traffic moving in opposite directions.
What is the main funtion of a roundabt?,It allows vehicles to navigate intersections smoothly without traffic signals.
What are hlding lines?,Lines that indicate where drivers must yield or stop to give way to other vehicles.
What is the funtion of a stop sign at a holding line?,It signals the driver to come to a complete stop and yield to other traffic.
Why are stop lins important at pedestrian crossings?,They ensure that vehicles stop at a safe distance to allow pedestrians to cross.
What does a double solid yellow line prhibit?,Both overtaking and crossing are prohibited.
What does it men when a lane has a singl solid yellow line?,"Overtaking is prohibited, but crossing into the lane is allowed."
What is the conseqence of overtaiking on a solid yellow line?,It’s illegal and dangerous as it can cause accidents.
Why are pedstrian lanes important?,They provide a designated safe space for pedestrians to cross the road.
What is the prpose of a solid whte stop line?,It indicates where vehicles must stop at traffic lights or pedestrian crossings.
How do roundbout markings differ from reglar intersection markings?,Roundabout markings include holding lines to indicate where vehicles must yield.
Why is overtaiking prhibited on some roads?,To prevent accidents on roads where visibility or space is limited.
What do brokn white lines allow?,They allow vehicles to change lanes or overtake when safe.
What should you do when you aproach a pedestrian lane?,Slow down and stop if pedestrians are crossing.
What is the importnce of rumbl strips?,They alert drivers through vibration that they may be veering off or losing focus.
What do yellow lnes on parking spces indicate?,They outline designated parking areas and should not be used for long-term parking.
How can you dentify a lane for public utilty vehcles?,Look for pavement markings that read 'PUJ Lane' or 'Bus Lane.'
What should you do when driving neer a bus lane?,Avoid driving in the bus lane and let buses have priority.
Why are continuty lines imortant?,They warn drivers of upcoming lane merges or lane terminations.
What is the prpose of a loding and unloading bay lane?,It allows public utility vehicles to safely load and unload passengers.
How can paveemnt markings imprve road safety?,"They provide clear guidance for lane use, turning, stopping, and overtaking."
Why should you nver park in a fire lane?,Fire lanes must be kept clear for emergency vehicles like fire trucks.
What does a singl brokn white line signify?,It allows vehicles to change lanes or overtake when it is safe.
What does a solid whte line on the road mean?,It indicates that lane changing is discouraged or prohibited.
Why are pavemnt markngs repainted?,To ensure they remain visible and continue to provide guidance for safe driving.
What is the diffrence between a brokn and a solid line?,"A broken line allows overtaking or lane changes, while a solid line restricts them."
Why are there diffrent colors for pavemnt markings?,"Different colors provide specific information; for example, yellow separates traffic directions, while white separates lanes."
Why do som roads have markngs for speed lmits?,These markings remind drivers of the speed they must not exceed for safety.
What is a rumbl strip’s main prpose?,To alert inattentive or drowsy drivers by creating vibrations.
How do pedstrian lanes and stop lines wrk together?,The stop line ensures vehicles stop at a safe distance from the pedestrian lane.
Why should drivers pay attention to islad markings?,They help prevent collisions with obstacles and guide safe lane changes.
What are the dngers of ignoring road markngs?,Ignoring markings can lead to accidents and violations.
Ano ang mga guhit sa kalsada o pavement marking?,Ang mga guhit sa kalsada ay mga linya na ipininta sa kalsada na nagsisilbing gabay para sa mga sasakyan.
Bakit mahalaga ang mga guhit sa kalsada o pavement marking?,"Ginagabayan nila ang mga drayber sa tamang posisyon sa kalsada, na nagtitiyak ng kaligtasan at kaayusan."
Ano ang edge line?,Ang edge line ay isang makapal na linya sa gilid ng kalsada na naghihiwalay dito mula sa bangketa o gilid.
Bakit nakalaan ang bangketa para sa mga pedestrian?,Ang mga bangketa ay nakalaan para sa mga pedestrian upang matiyak ang kanilang kaligtasan mula sa mga sasakyan.
Ano ang layunin ng curb o gilid ng kalsada?,Ang mga curb o gilid ng kalsada ay para sa mga sasakyan na huminto sa oras ng emergency.
Ano ang center line?,Ang center line ay naghihiwalay sa direksyon ng trapiko at kadalasang tuloy-tuloy.
Ano ang mangyayari kapag tumawid ang sasakyan sa center line?,Ang pagtawid sa center line ay maaaring magdulot ng mapanganib na counter-flow na sitwasyon.
Para saan ang putol-putol na puting linya?,Naghihiwalay ito ng mga lane at nagpapahiwatig na maaaring mag-overtake kapag ligtas.
Ano ang pedestrian lane?,Ang pedestrian lane ay lugar kung saan maaaring ligtas na tumawid ang mga tao sa kalsada.
Ano ang stop line?,"Ang stop line ay isang solidong puting linya na nangangailangan ng buong paghinto ng mga sasakyan, lalo na kapag may tumatawid na pedestrian."
Bakit ang ilang kalsada ay may dilaw na guhit imbes na puti?,Ang mga dilaw na guhit ay madalas makita sa mga highway kung saan bihira ang mga pedestrian.
Ano ang ibig sabihin ng doble solidong dilaw o puting linya?,Ipinagbabawal ang pag-overtake at pagtawid.
Ano ang ibig sabihin ng kombinasyon ng putol-putol at solidong dilaw na linya?,Pinapayagan ang pag-overtake sa putol-putol na linya ngunit bawal sa solidong linya.
Ano ang ibig sabihin ng isang solidong dilaw o puting linya?,"Bawal ang pag-overtake, ngunit pinapayagan ang pagtawid."
Ano ang continuity lines?,Mas maikling linya na nagpapahiwatig na malapit nang matapos ang iyong lane o may paparating na hadlang.
Ano ang ibig sabihin ng continuity line sa iyong kanan?,Ibig sabihin ay magpapatuloy ang iyong lane nang walang pagbabago.
Ano ang ibig sabihin ng continuity line sa iyong kaliwa?,Ibig sabihin ay papalapit ka sa isang hadlang o ibang direksyon.
Anong bilis ang dapat panatilihin kapag pumapasok sa expressway?,Sundin ang bilis ng mga sasakyan na nasa expressway upang maiwasan ang aksidente.
Ano ang transition lines?,Ginagabayan ng transition lines ang mga sasakyan sa mga hadlang gaya ng mga isla o poste ng tulay.
Ano ang giveaway lines?,Ito ay mga putol-putol na puting linya sa kalsada na nagpapahiwatig na dapat magbigay-daan ang mga drayber sa paparating na trapiko.
Saan karaniwang makikita ang giveaway lines?,"Sa mga intersection, gilid na kalsada, o rotonda."
Sino ang may karapatang mauna sa rotonda?,Ang mga sasakyang nasa loob na ng rotonda ang may karapatang mauna.
Ano ang non-signalized pedestrian lanes?,Mga pedestrian lane na walang traffic light kung saan kailangang huminto ang mga drayber para sa mga pedestrian.
Ano ang signalized pedestrian lanes?,Mga pedestrian lane na may traffic light na nagpapahiwatig kung kailan maaaring tumawid ang mga pedestrian.
Ano ang turn lines?,Ang mga turn lines ay naggagabay sa mga sasakyan kapag lumiliko sa intersection.
Ano ang mga loading at unloading bay lines?,Mga tuloy-tuloy na puting linya na nagpapakita kung saan maaaring maghintay at magsakay o magbaba ng pasahero ang mga pampublikong sasakyan.
Ano ang ibig sabihin ng dilaw na guhit sa parking areas?,"Ipinapakita nito kung saan dapat iparada ang mga sasakyan, lalo na ang mga espasyo para sa mga taong may kapansanan."
Maaari ka bang magpark sa PWD parking spot kung ito na lang ang bakante?,"Hindi, dapat kang humanap ng ibang espasyo dahil nakalaan ito para sa mga taong may kapansanan."
Ano ang mga PUV lanes?,Mga lane na nakalaan para sa mga pampublikong sasakyan gaya ng mga bus at jeep.
Bakit espesyal ang pagkakabuo ng mga PUV lanes?,Ito ay espesyal na markado upang malinaw na maihiwalay mula sa mga lane para sa ibang sasakyan.
Ano ang approach markings?,Ipinapakita na papalapit ka na sa isang hadlang gaya ng isla o median strip.
Ano ang rumble strips?,Ang rumble strips ay nag-aalerto sa mga drayber na maaaring nawawala ang pokus sa mahabang tuwid na kalsada.
Ano ang ibig sabihin ng mga chevron sa poste at mga traffic lights?,Ito ay nagsisilbing babala ng mga paparating na hadlang.
Ano ang ibig sabihin ng dilaw na curb?,Ipinagbabawal ang pagparada sa mga curb na may dilaw na pintura.
Ano ang ibig sabihin ng pulang curb?,Ipinagbabawal ang pagsakay o pagbaba ng pasahero.
Ano ang railroad crossing markings?,Ito ay mga linya na may ‘RR’ at malaking X na nagbabala sa mga drayber na papalapit na sa riles ng tren.
Ano ang dapat gawin ng mga drayber kapag papalapit na sa railroad crossing markings?,Huminto ng buo at mag-ingat para sa paparating na tren.
Ano ang fire lanes?,Ang fire lanes ay nakalaan para sa mga fire engine at bawal ang pagparada sa mga lugar na ito.
Bakit ang ilang pavement objects ay gawa sa matigas na plastik o semento?,Ginagamit ang mga bagay na ito para pansamantalang gabayan ang trapiko at ayusin ang paggalaw ng mga sasakyan.
Ano ang motorcycle at bike lanes?,Mga nakalaang lane para sa mga motorsiklo at bisikleta upang maiwasan ang palipat-lipat na lane maliban kung palabas.
Ano ang pavement arrows?,Mga puting arrow sa kalsada na gumagabay sa mga drayber sa tamang lane at direksyon.
Ano ang ibig sabihin ng speed limit pavement marking?,Ipinapakita nito ang pinakamataas na bilis na pinapayagan sa lugar na kailangang sundin nang mahigpit.
Ano ang cat's eye o road stud?,Isang reflective na aparato sa kalsada na tumutulong maghiwalay ng mga lane at nakikita sa gabi.
Bakit epektibo ang cat’s eyes sa gabi?,Sila ay nagre-reflect ng ilaw kaya’t mas nakikita ang mga guhit sa kalsada sa dilim.
Maaari bang huminto ang mga sasakyan ng matagal sa gilid ng kalsada?,"Hindi, ang gilid ng kalsada ay para lamang sa mga emergency stop."
Ano ang ibig sabihin ng transition lines?,Ginagabayan nila ang mga sasakyan sa ligtas na paraan sa paligid ng mga hadlang o pagbabago ng lane.
Saan karaniwang lumalabas ang transition lines?,"Sa gilid ng mga isla, poste ng tulay, at kung saan lumalawak o sumisikip ang mga lane ng kalsada."
Ano ang median strip?,Isang tagahati sa gitna ng kalsada na naghihiwalay ng trapiko na magkasalungat ang direksyon.
Ano ang pangunahing tungkulin ng roundabout?,Pinapayagan nito ang mga sasakyan na maayos na makatawid sa intersection nang walang traffic lights.
Ano ang holding lines?,Mga linya na nagpapahiwatig kung saan dapat huminto o magbigay-daan ang mga drayber sa iba pang sasakyan.
Ano ang tungkulin ng stop sign sa holding line?,Nagpapahiwatig ito sa drayber na kailangan niyang huminto ng buo at magbigay-daan sa ibang trapiko.
Bakit mahalaga ang stop lines sa pedestrian crossings?,Tinitiyak nila na humihinto ang mga sasakyan sa ligtas na layo upang payagan ang mga pedestrian na tumawid.
Ano ang ipinagbabawal ng doble solidong dilaw na linya?,Bawal ang pag-overtake at pagtawid.
Ano ang ibig sabihin kapag ang isang lane ay may isang solidong dilaw na linya?,"Bawal ang pag-overtake, ngunit pinapayagan ang pagtawid sa lane."
Ano ang kahihinatnan ng pag-overtake sa solidong dilaw na linya?,Ilegal ito at mapanganib dahil maaaring magdulot ito ng aksidente.
Bakit mahalaga ang pedestrian lanes?,Nagbibigay ito ng nakalaang ligtas na lugar para sa mga pedestrian na tumawid sa kalsada.
Ano ang layunin ng solidong puting stop line?,Ipinapakita nito kung saan dapat huminto ang mga sasakyan sa traffic lights o pedestrian crossings.
Paano naiiba ang roundabout markings sa regular na intersection markings?,Ang roundabout markings ay may holding lines upang ipakita kung saan dapat magbigay-daan ang mga sasakyan.
Bakit ipinagbabawal ang pag-overtake sa ilang mga kalsada?,Upang maiwasan ang mga aksidente sa mga kalsada kung saan limitado ang visibility o espasyo.
Ano ang pinapayagan ng putol-putol na puting linya?,Pinapayagan nito ang mga sasakyan na magpalit ng lane o mag-overtake kapag ligtas.
Ano ang dapat mong gawin kapag papalapit sa pedestrian lane?,Magbawas ng bilis at huminto kung may tumatawid na pedestrian.
Ano ang kahalagahan ng rumble strips?,Nag-aalerto sila sa mga drayber sa pamamagitan ng panginginig na maaaring nawawalan ng pokus.
Ano ang ibig sabihin ng dilaw na linya sa parking spaces?,Nagpapakita ito ng nakatalagang mga lugar ng paradahan at hindi dapat gamitin para sa matagal na pagparada.
Paano mo makikilala ang lane para sa mga pampublikong sasakyan?,Tingnan ang mga marka sa kalsada na nagsasabing 'PUJ Lane' o 'Bus Lane.'
Ano ang dapat mong gawin kapag nagmamaneho malapit sa bus lane?,Iwasang magmaneho sa bus lane at bigyang-priyoridad ang mga bus.
Bakit mahalaga ang continuity lines?,Binabalaan nila ang mga drayber ng mga paparating na pagsanib ng lane o pagtigil ng lane.
Ano ang layunin ng loading at unloading bay lane?,Pinapayagan nito ang mga pampublikong sasakyan na ligtas na magsakay at magbaba ng pasahero.
Paano nakakatulong ang mga guhit sa kalsada sa kaligtasan?,"Nagbibigay sila ng malinaw na gabay para sa paggamit ng lane, pagliko, paghinto, at pag-overtake."
Bakit hindi ka dapat magpark sa fire lane?,Ang mga fire lane ay dapat palaging malaya para sa mga sasakyang pang-emerhensiya tulad ng mga fire truck.
Ano ang ibig sabihin ng isang putol-putol na puting linya?,Pinapayagan nito ang mga sasakyan na magpalit ng lane o mag-overtake kapag ligtas.
Ano ang ibig sabihin ng solidong puting linya sa kalsada?,Ipinapahiwatig nito na hindi pinapayagan ang pagpapalit ng lane o discouraged ito.
Bakit nire-repaint ang mga guhit sa kalsada?,Upang matiyak na nananatili silang nakikita at patuloy na nagbibigay ng gabay para sa ligtas na pagmamaneho.
Ano ang pagkakaiba ng putol-putol at solidong linya?,"Ang putol-putol na linya ay pinapayagan ang pag-overtake o pagpapalit ng lane, habang ang solidong linya ay naglilimita nito."
Bakit may iba't ibang kulay ang mga guhit sa kalsada?,"Nagbibigay ng espesipikong impormasyon ang iba't ibang kulay; halimbawa, ang dilaw ay naghihiwalay sa direksyon ng trapiko, habang ang puti ay naghihiwalay ng mga lane."
Bakit may mga guhit sa kalsada para sa speed limits?,Ang mga guhit na ito ay nagpapaalala sa mga drayber ng bilis na hindi dapat lampasan para sa kaligtasan.
Ano ang pangunahing layunin ng rumble strip?,Upang alertuhan ang mga inattentive o inaantok na drayber sa pamamagitan ng paglikha ng panginginig.
Paano nagtutulungan ang pedestrian lanes at stop lines?,Tinitiyak ng stop line na humihinto ang mga sasakyan sa ligtas na layo mula sa pedestrian lane.
Bakit dapat magbigay-pansin ang mga drayber sa markings ng mga isla?,Nakakatulong sila sa pag-iwas sa banggaan sa mga hadlang at gumagabay sa ligtas na pagpapalit ng lane.
Ano ang mga panganib ng hindi pagsunod sa mga guhit sa kalsada?,Ang pagwawalang-bahala sa mga guhit ay maaaring magdulot ng aksidente at paglabag sa batas.
4n0 4ng mg4 guh!t 5a k4l5ada?,Ang mga guhit sa kalsada ay mga linya na ipininta sa kalsada na nagsisilbing gabay para sa mga sasakyan.
B4kit m4halaga 4ng mg4 guh!t 5a k4lsad4?,"Ginagabayan nila ang mga drayber sa tamang posisyon sa kalsada, na nagtitiyak ng kaligtasan at kaayusan."
4no 4ng 3dg3 lin3?,Ang edge line ay isang makapal na linya sa gilid ng kalsada na naghihiwalay dito mula sa bangketa o gilid.
B4k!t n4kala4n 4ng b4ngketa p4ra 5a p3destrians?,Ang mga bangketa ay nakalaan para sa mga pedestrian upang matiyak ang kanilang kaligtasan mula sa mga sasakyan.
4n0 4ng l4yun!n ng curb o sh0uld3r?,Ang mga curb o gilid ng kalsada ay para sa mga sasakyan na huminto sa oras ng emergency.
4no 4ng c3nter l!n3?,Ang center line ay naghihiwalay sa direksyon ng trapiko at kadalasang tuloy-tuloy.
4no mangy4yari k4pag tum4wid 4ng 5asaky4n 5a c3nter l!n3?,Ang pagtawid sa center line ay maaaring magdulot ng mapanganib na counter-flow na sitwasyon.
Ano 4ng p4gamit ng br0k3n wh!te l!n3?,Naghihiwalay ito ng mga lane at nagpapahiwatig na maaaring mag-overtake kapag ligtas.
4no 4ng p3destri4n l4n3?,Ang pedestrian lane ay lugar kung saan maaaring ligtas na tumawid ang mga tao sa kalsada.
4no 4ng stop l!n3?,"Ang stop line ay isang solidong puting linya na nangangailangan ng buong paghinto ng mga sasakyan, lalo na kapag may tumatawid na pedestrian."
B4kit m3ron y3low l!n3s imbe5 na wh!te 5a iilang k4lsada?,Ang mga dilaw na guhit ay madalas makita sa mga highway kung saan bihira ang mga pedestrian.
Ano ang ib!g 54bihin ng d0ble 5ol!dong y3llow o wh!te l!n3s?,Ipinagbabawal ang pag-overtake at pagtawid.
4no ang kahulugan ng kombin4syon ng br0k3n at 5olid dilaw na linya?,Pinapayagan ang pag-overtake sa putol-putol na linya ngunit bawal sa solidong linya.
4no ang ib!g 5abihin ng i5ang 5ol!dong dilaw o wh!te l!ne?,"Bawal ang pag-overtake, ngunit pinapayagan ang pagtawid."
4n0 4ng continuity l!n3s?,Mas maikling linya na nagpapahiwatig na malapit nang matapos ang iyong lane o may paparating na hadlang.
4no ang 1big 54bihin ng continuity l!ne s4 ka!nan?,Ibig sabihin ay magpapatuloy ang iyong lane nang walang pagbabago.
Ano ang 1b!g 5abihin ng c0ntinu!ty l!ne s4 k4liw4?,Ibig sabihin ay papalapit ka sa isang hadlang o ibang direksyon.
4n0ng bil!5 4ng d4p4t p4n4ti!lihin s4 expr3ssw4y?,Sundin ang bilis ng mga sasakyan na nasa expressway upang maiwasan ang aksidente.
4no ang tr4ns!tion l!n3s?,Ginagabayan ng transition lines ang mga sasakyan sa mga hadlang gaya ng mga isla o poste ng tulay.
Ano 4ng g!ve4w4y l!n3s?,Ito ay mga putol-putol na puting linya sa kalsada na nagpapahiwatig na dapat magbigay-daan ang mga drayber sa paparating na trapiko.
S44n m4datn!p 4ng g!vew4y l!nes?,"Sa mga intersection, gilid na kalsada, o rotonda."
5in0 ang may kar4p4t4ng m4un4 s4 r0t0nd4?,Ang mga sasakyang nasa loob na ng rotonda ang may karapatang mauna.
4n0 ang n0n-5!gn4l!zed p3destri4n l4n3s?,Mga pedestrian lane na walang traffic light kung saan kailangang huminto ang mga drayber para sa mga pedestrian.
An0 ang 5ign4l!zed p3destri4n l4n3s?,Mga pedestrian lane na may traffic light na nagpapahiwatig kung kailan maaaring tumawid ang mga pedestrian.
4n0 4ng turn l!n3s?,Ang mga turn lines ay naggagabay sa mga sasakyan kapag lumiliko sa intersection.
4n0 ang lo4ding at unlo4ding b4y l!n3s?,Mga tuloy-tuloy na puting linya na nagpapakita kung saan maaaring magsakay o magbaba ng pasahero ang mga pampublikong sasakyan.
An0 ang 1big 5abihin ng y3ll0w l!n3 s4 p4rking 4r3as?,"Ipinapakita nito kung saan dapat iparada ang mga sasakyan, lalo na ang mga espasyo para sa mga taong may kapansanan."
Pwede bang magpark s4 PWD parking spot k4pag it0 n4 l4ng 4ng b4kante?,"Hindi, dapat kang humanap ng ibang espasyo dahil nakalaan ito para sa mga taong may kapansanan."
4no 4ng mg4 PUV l4n3s?,Mga lane na nakalaan para sa mga pampublikong sasakyan gaya ng mga bus at jeep.
B4kit e5p35yal ang p4gkak4b0u ng m4g4 PUV l4nes?,Ito ay espesyal na markado upang malinaw na maihiwalay mula sa mga lane para sa ibang sasakyan.
4n0 ang 4ppr0ach m4rking5?,Ipinapakita na papalapit ka na sa isang hadlang gaya ng isla o median strip.
4n0 ang rumble 5tr!ps?,Ang rumble strips ay nag-aalerto sa mga drayber na maaaring nawawala ang pokus sa mahabang tuwid na kalsada.
4n0 ang !big s4bih!n ng mg4 chevron s4 post3 at mg4 traffic l!ghts?,Ito ay nagsisilbing babala ng mga paparating na hadlang.
4n0 ang !b!g s4bih!n ng dil4w n4 curb?,Ipinagbabawal ang pagparada sa mga curb na may dilaw na pintura.
4n0 ang !b!g s4bih!n ng pul4ng curb?,Ipinagbabawal ang pagsakay o pagbaba ng pasahero.
4no 4ng r4!lroad cr055!ng m4rk!ng5?,Ito ay mga linya na may ‘RR’ at malaking X na nagbabala sa mga drayber na papalapit na sa riles ng tren.
4n0 4ng d4pat g4w!n ng m4g4 dr4!ber k4p4g p4p4lap!t n4 s4 r4!lr04d cr0ss!ng m4rking5?,Huminto ng buo at mag-ingat para sa paparating na tren.
4no 4ng f!re l4n3s?,Ang fire lanes ay nakalaan para sa mga fire engine at bawal ang pagparada sa mga lugar na ito.
B4k!t ang !l4ng pavem3nt 0bj3cts 4y g4w4 s4 m4t1g45 n4 pl45t!k 0 s3m3nt0?,Ginagamit ang mga bagay na ito para pansamantalang gabayan ang trapiko at ayusin ang paggalaw ng mga sasakyan.
4n0 4ng m0t0rcycle 4t b!ke l4n3s?,Mga nakalaang lane para sa mga motorsiklo at bisikleta upang maiwasan ang palipat-lipat na lane maliban kung palabas.
4n0 4ng pavem3nt arr0ws?,Mga puting arrow sa kalsada na gumagabay sa mga drayber sa tamang lane at direksyon.
4n0 4ng sp33d l!m!t pav3ment m4rk!ng?,Ipinapakita nito ang pinakamataas na bilis na pinapayagan sa lugar na kailangang sundin nang mahigpit.
4n0 4ng c4t’s ey3 o r0ad 5tud?,Isang reflective na aparato sa kalsada na tumutulong maghiwalay ng mga lane at nakikita sa gabi.
B4k!t 3pekt!b0 ang c4t’s ey35 sa g4bi?,Sila ay nagre-reflect ng ilaw kaya’t mas nakikita ang mga guhit sa kalsada sa dilim.
M4a4r! b4ng hum!nt0 ang m4g4 5as4ky4n ng m4tag4l 5a gilid ng k4ls4da?,"Hindi, ang gilid ng kalsada ay para lamang sa mga emergency stop."
4no 4ng !b!g s4bih!n ng tr4nsit!on l!n3s?,Ginagabayan nila ang mga sasakyan sa ligtas na paraan sa paligid ng mga hadlang o pagbabago ng lane.
S44n k4rw1!mihan lum4l4b4s ang tr4nsit!on lin3s?,"Sa gilid ng mga isla, poste ng tulay, at kung saan lumalawak o sumisikip ang mga lane ng kalsada."
4n0 ang med!an str!p?,Isang tagahati sa gitna ng kalsada na naghihiwalay ng trapiko na magkasalungat ang direksyon.
4no ang p4ngunah!ng tunkul!n ng roundabout?,Pinapayagan nito ang mga sasakyan na maayos na makatawid sa intersection nang walang traffic lights.
4n0 ang h0ld!ng l!n3s?,Mga linya na nagpapahiwatig kung saan dapat huminto o magbigay-daan ang mga drayber sa iba pang sasakyan.
4n0 ang tungk0l!n ng stop s!gn sa h0ld!ng l!ne?,Nagpapahiwatig ito sa drayber na kailangan niyang huminto ng buo at magbigay-daan sa ibang trapiko.
B4k!t m4h4l4g4 4ng stop l!n3s s4 pedestr!an cr0ss!ng5?,Tinitiyak nila na humihinto ang mga sasakyan sa ligtas na layo upang payagan ang mga pedestrian na tumawid.
4no ang !p!n4gb4b4w4l ng dobl3 s0l!dong d!l4w na l!n3?,Bawal ang pag-overtake at pagtawid.
4n0 ang !b!g s4bih!n k4pag 4ng !s4ng lane ay m4y !s4ng s0l!dong d!l4w na l!n3?,"Bawal ang pag-overtake, ngunit pinapayagan ang pagtawid sa lane."
4n0 ang k4h!h!n4tn4n ng pag-overtake s4 5ol!dong d!l4w n4 l!ne?,Ilegal ito at mapanganib dahil maaaring magdulot ito ng aksidente.
B4kit m4h4l4g4 ang p3d3str!an l4n35?,Nagbibigay ito ng nakalaang ligtas na lugar para sa mga pedestrian na tumawid sa kalsada.
4n0 ang l4y0n!n ng s0l!dong put!ng 5t0p l!n3?,Ipinapakita nito kung saan dapat huminto ang mga sasakyan sa traffic lights o pedestrian crossings.
P4an0 n41!b4 ang round4bout m4rk!ngs s4 r3gular n4 !nt3rsect!0n m4rk!ngs?,Ang roundabout markings ay may holding lines upang ipakita kung saan dapat magbigay-daan ang mga sasakyan.
